Epochs,Best ever for all nodes Layer .classifier,Best current for all nodes Layer .classifier
0,0.006331188138574362,
1,0.007958655245602131,
2,0.007958655245602131,
3,0.00850582029670477,
4,0.008891206234693527,
5,0.009524854831397533,
6,0.009633290581405163,
7,0.009656781330704689,
8,0.009656781330704689,
9,0.009656781330704689,
10,0.009656781330704689,
11,0.0096691083163023,
12,0.010362544097006321,
13,0.010362544097006321,
14,0.010392735712230206,
15,0.010392735712230206,
16,0.010392735712230206,
17,0.010553414933383465,
18,0.010553414933383465,
19,0.0039407010190188885,
20,0.004493545275181532,
21,0.00477501330897212,
22,0.0065751648508012295,
23,0.0065751648508012295,
24,0.006687078159302473,
25,0.007475816644728184,
26,0.007475816644728184,
27,0.007475816644728184,
28,0.007475816644728184,
29,0.007570377551019192,
30,0.007570377551019192,
31,0.007570377551019192,
32,0.007570377551019192,
33,0.007570377551019192,
34,0.007570377551019192,
35,0.007611245382577181,
36,0.007611245382577181,
37,0.007611245382577181,
38,0.007611245382577181,
39,0.007611245382577181,
40,0.007630862761288881,
41,0.007663425989449024,
42,0.007712746504694223,
43,0.00807118508964777,
44,0.00807118508964777,
45,0.00807118508964777,
46,0.00807118508964777,
47,0.00807118508964777,
48,0.0037541170604526997,
49,0.004883455112576485,
50,0.005000417586416006,
51,0.005841382779181004,
52,0.005902590695768595,
53,0.005951010622084141,
54,0.006386782042682171,
55,0.0065940856002271175,
56,0.006798185873776674,
57,0.00686129555106163,
58,0.007454292383044958,
59,0.007454292383044958,
60,0.007454292383044958,
61,0.007454292383044958,
62,0.007454292383044958,
63,0.007454292383044958,
64,0.007454292383044958,
65,0.008384919725358486,
66,0.008384919725358486,
67,0.008384919725358486,
68,0.008384919725358486,
69,0.008384919725358486,
70,0.008384919725358486,
71,0.008384919725358486,
72,0.008384919725358486,
73,0.008384919725358486,
74,0.008384919725358486,
75,0.008384919725358486,
76,0.008384919725358486,
77,0.008384919725358486,
78,0.008384919725358486,
79,0.008384919725358486,
80,0.008384919725358486,
81,0.008384919725358486,
82,0.008384919725358486,
83,0.008384919725358486,
84,0.008392611518502235,
85,0.008392611518502235,
86,0.008392611518502235,
87,0.008392611518502235,
88,0.008392611518502235,
89,0.003783461172133684,
90,0.00482343602925539,
91,0.004894495941698551,
92,0.0052479952573776245,
93,0.0063776797614991665,
94,0.0063776797614991665,
95,0.0063776797614991665,
96,0.0063776797614991665,
97,0.006464551202952862,
98,0.006464551202952862,
99,0.006464551202952862,
100,0.006489959545433521,
101,0.006489959545433521,
102,0.006489959545433521,
103,0.0068673500791192055,
104,0.0068673500791192055,
105,0.0068673500791192055,
106,0.0068673500791192055,
107,0.0068673500791192055,
108,0.0068673500791192055,
109,0.0068673500791192055,
110,0.0068673500791192055,
111,0.0068673500791192055,
112,0.0068673500791192055,
113,0.0068673500791192055,
114,0.0068673500791192055,
115,0.0068673500791192055,
116,0.0068673500791192055,
117,0.0068673500791192055,
118,0.0068673500791192055,
119,0.0026870633009821177,
120,0.003970742225646973,
121,0.005223928950726986,
122,0.006076512858271599,
123,0.006076512858271599,
124,0.006076512858271599,
125,0.006076512858271599,
126,0.006110559217631817,
127,0.006110559217631817,
128,0.006110559217631817,
129,0.0068961335346102715,
130,0.0068961335346102715,
131,0.0068961335346102715,
132,0.0068961335346102715,
133,0.0068961335346102715,
134,0.007117363158613443,
135,0.007117363158613443,
136,0.007408970035612583,
137,0.007408970035612583,
138,0.007408970035612583,
139,0.007408970035612583,
140,0.007408970035612583,
141,0.007408970035612583,
142,0.007408970035612583,
143,0.007408970035612583,
144,0.007408970035612583,
145,0.007408970035612583,
146,0.007408970035612583,
147,0.007408970035612583,
148,0.007408970035612583,
149,0.007408970035612583,
150,0.007408970035612583,
151,0.007408970035612583,
152,0.007408970035612583,
153,0.007408970035612583,
154,0.007408970035612583,
