Epochs,Validation Scores,Validation Running Scores
0,0.2109387367963791,
1,0.1985090672969818,
2,0.22838406264781952,
3,0.21493858098983765,
4,0.32517486810684204,
5,0.20920667052268982,
6,0.25326037406921387,
7,0.19922959804534912,
8,0.24316458404064178,
9,0.18936848640441895,
10,0.26506221294403076,
11,0.21640896797180176,
12,0.18272331357002258,
13,0.18579381704330444,
14,0.23451082408428192,
15,0.32974767684936523,
16,0.23657900094985962,
17,0.25046780705451965,
18,0.2928856611251831,
19,0.20305418968200684,
20,0.2337227165699005,
21,0.24273888766765594,
22,0.2991395890712738,
23,0.304199755191803,
24,0.2858312427997589,
25,0.32009705901145935,
0,,0.2109387367963791
1,,0.1985090672969818
2,,0.22838406264781952
3,,0.21493858098983765
4,,0.32517486810684204
5,,0.20920667052268982
6,,0.25326037406921387
7,,0.19922959804534912
8,,0.24316458404064178
9,,0.18936848640441895
10,,0.26506221294403076
11,,0.21640896797180176
12,,0.18272331357002258
13,,0.18579381704330444
14,,0.23451082408428192
15,,0.32974767684936523
16,,0.23657900094985962
17,,0.25046780705451965
18,,0.2928856611251831
19,,0.20305418968200684
20,,0.2337227165699005
21,,0.24273888766765594
22,,0.2991395890712738
23,,0.304199755191803
24,,0.2858312427997589
25,,0.32009705901145935
