Epochs,Validation Scores,Validation Running Scores,train
0,44.62,,
1,59.19,,
2,68.22,,
3,73.17,,
4,76.56,,
5,78.7,,
6,80.65,,
7,81.85,,
8,82.87,,
9,83.73,,
10,83.92,,
11,84.15,,
12,84.59,,
13,83.44,,
14,83.84,,
15,84.59,,
16,85.16,,
17,85.61,,
18,85.96,,
19,86.12,,
20,86.36,,
21,86.28,,
22,86.37,,
23,86.33,,
24,86.31,,
25,86.45,,
26,86.37,,
27,86.45,,
28,86.53,,
29,86.37,,
30,86.41,,
31,86.41,,
32,86.46,,
33,86.42,,
34,86.39,,
35,86.45,,
0,,44.62,
1,,59.19,
2,,68.22,
3,,73.17,
4,,76.56,
5,,78.7,
6,,80.65,
7,,81.85,
8,,82.87,
9,,83.73,
10,,83.92,
11,,84.15,
12,,84.59,
13,,83.44,
14,,83.84,
15,,84.59,
16,,85.16,
17,,85.61,
18,,85.96,
19,,86.12,
20,,86.36,
21,,86.28,
22,,86.37,
23,,86.33,
24,,86.31,
25,,86.45,
26,,86.37,
27,,86.45,
28,,86.53,
29,,86.37,
30,,86.41,
31,,86.41,
32,,86.46,
33,,86.42,
34,,86.39,
35,,86.45,
0,,,30.686
1,,,49.47
2,,,62.598
3,,,69.008
4,,,73.694
5,,,76.642
6,,,79.28
7,,,81.086
8,,,82.42
9,,,83.574
10,,,84.424
11,,,85.052
12,,,85.44
13,,,83.928
14,,,85.32
15,,,86.334
16,,,87.002
17,,,87.692
18,,,88.24
19,,,88.524
20,,,88.742
21,,,88.97
22,,,88.99
23,,,88.99
24,,,89.164
25,,,89.26
26,,,89.22
27,,,89.31
28,,,89.266
29,,,89.312
30,,,89.244
31,,,89.212
32,,,89.366
33,,,89.32
34,,,89.464
35,,,89.326
